
Generating: '/home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py'

Executing: /usr/bin/python2 -u /home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py

i = 192, real = 54, imag = 90
i = 193, real = 70, imag = 90
i = 194, real = 54, imag = 106
i = 195, real = 70, imag = 106
i = 196, real = 62, imag = 122
i = 197, real = 78, imag = 122
i = 198, real = 62, imag = 138
i = 199, real = 78, imag = 138
i = 200, real = 70, imag = 98
i = 201, real = 86, imag = 98
i = 202, real = 70, imag = 114
i = 203, real = 86, imag = 114
i = 204, real = 78, imag = 130
i = 205, real = 94, imag = 130
i = 206, real = 78, imag = 146
i = 207, real = 94, imag = 146
i = 208, real = 90, imag = 106
i = 209, real = 106, imag = 106
i = 210, real = 90, imag = 122
i = 211, real = 106, imag = 122
i = 212, real = 98, imag = 138
i = 213, real = 114, imag = 138
i = 214, real = 98, imag = 154
i = 215, real = 114, imag = 154
i = 216, real = 106, imag = 114
i = 217, real = 122, imag = 114
i = 218, real = 106, imag = 130
i = 219, real = 122, imag = 130
i = 220, real = 114, imag = 146
i = 221, real = 130, imag = 146
i = 222, real = 114, imag = 162
i = 223, real = 130, imag = 162
i = 224, real = 62, imag = 126
i = 225, real = 78, imag = 126
i = 226, real = 62, imag = 142
i = 227, real = 78, imag = 142
i = 228, real = 70, imag = 158
i = 229, real = 86, imag = 158
i = 230, real = 70, imag = 174
i = 231, real = 86, imag = 174
i = 232, real = 78, imag = 134
i = 233, real = 94, imag = 134
i = 234, real = 78, imag = 150
i = 235, real = 94, imag = 150
i = 236, real = 86, imag = 166
i = 237, real = 102, imag = 166
i = 238, real = 86, imag = 182
i = 239, real = 102, imag = 182
i = 240, real = 98, imag = 142
i = 241, real = 114, imag = 142
i = 242, real = 98, imag = 158
i = 243, real = 114, imag = 158
i = 244, real = 106, imag = 174
i = 245, real = 122, imag = 174
i = 246, real = 106, imag = 190
i = 247, real = 122, imag = 190
i = 248, real = 114, imag = 150
i = 249, real = 130, imag = 150
i = 250, real = 114, imag = 166
i = 251, real = 130, imag = 166
i = 252, real = 122, imag = 182
i = 253, real = 138, imag = 182
i = 254, real = 122, imag = 198
i = 255, real = 138, imag = 198
i = 256, real = 73, imag = 36
i = 257, real = 89, imag = 36
i = 258, real = 73, imag = 52
i = 259, real = 89, imag = 52
i = 260, real = 81, imag = 68
i = 261, real = 97, imag = 68
i = 262, real = 81, imag = 84
i = 263, real = 97, imag = 84
i = 264, real = 89, imag = 44
i = 265, real = 105, imag = 44
i = 266, real = 89, imag = 60
i = 267, real = 105, imag = 60
i = 268, real = 97, imag = 76
i = 269, real = 113, imag = 76
i = 270, real = 97, imag = 92
i = 271, real = 113, imag = 92
i = 272, real = 109, imag = 52
i = 273, real = 125, imag = 52
i = 274, real = 109, imag = 68
i = 275, real = 125, imag = 68
i = 276, real = 117, imag = 84
i = 277, real = 133, imag = 84
i = 278, real = 117, imag = 100
i = 279, real = 133, imag = 100
i = 280, real = 125, imag = 60
i = 281, real = 141, imag = 60
i = 282, real = 125, imag = 76
i = 283, real = 141, imag = 76
i = 284, real = 133, imag = 92
i = 285, real = 149, imag = 92
i = 286, real = 133, imag = 108
i = 287, real = 149, imag = 108
i = 288, real = 81, imag = 72
i = 289, real = 97, imag = 72
i = 290, real = 81, imag = 88
i = 291, real = 97, imag = 88
i = 292, real = 89, imag = 104
i = 293, real = 105, imag = 104
i = 294, real = 89, imag = 120
i = 295, real = 105, imag = 120
i = 296, real = 97, imag = 80
i = 297, real = 113, imag = 80
i = 298, real = 97, imag = 96
i = 299, real = 113, imag = 96
i = 300, real = 105, imag = 112
i = 301, real = 121, imag = 112
i = 302, real = 105, imag = 128
i = 303, real = 121, imag = 128
i = 304, real = 117, imag = 88
i = 305, real = 133, imag = 88
i = 306, real = 117, imag = 104
i = 307, real = 133, imag = 104
i = 308, real = 125, imag = 120
i = 309, real = 141, imag = 120
i = 310, real = 125, imag = 136
i = 311, real = 141, imag = 136
i = 312, real = 133, imag = 96
i = 313, real = 149, imag = 96
i = 314, real = 133, imag = 112
i = 315, real = 149, imag = 112
i = 316, real = 141, imag = 128
i = 317, real = 157, imag = 128
i = 318, real = 141, imag = 144
i = 319, real = 157, imag = 144
i = 320, real = 91, imag = 108
i = 321, real = 107, imag = 108
i = 322, real = 91, imag = 124
i = 323, real = 107, imag = 124
i = 324, real = 99, imag = 140
i = 325, real = 115, imag = 140
i = 326, real = 99, imag = 156
i = 327, real = 115, imag = 156
i = 328, real = 107, imag = 116
i = 329, real = 123, imag = 116
i = 330, real = 107, imag = 132
i = 331, real = 123, imag = 132
i = 332, real = 115, imag = 148
i = 333, real = 131, imag = 148
i = 334, real = 115, imag = 164
i = 335, real = 131, imag = 164
i = 336, real = 127, imag = 124
i = 337, real = 143, imag = 124
i = 338, real = 127, imag = 140
i = 339, real = 143, imag = 140
i = 340, real = 135, imag = 156
i = 341, real = 151, imag = 156
i = 342, real = 135, imag = 172
i = 343, real = 151, imag = 172
i = 344, real = 143, imag = 132
i = 345, real = 159, imag = 132
i = 346, real = 143, imag = 148
i = 347, real = 159, imag = 148
i = 348, real = 151, imag = 164
i = 349, real = 167, imag = 164
i = 350, real = 151, imag = 180
i = 351, real = 167, imag = 180
i = 352, real = 99, imag = 144
i = 353, real = 115, imag = 144
i = 354, real = 99, imag = 160
i = 355, real = 115, imag = 160
i = 356, real = 107, imag = 176
i = 357, real = 123, imag = 176
i = 358, real = 107, imag = 192
i = 359, real = 123, imag = 192
i = 360, real = 115, imag = 152
i = 361, real = 131, imag = 152
i = 362, real = 115, imag = 168
i = 363, real = 131, imag = 168
i = 364, real = 123, imag = 184
i = 365, real = 139, imag = 184
i = 366, real = 123, imag = 200
i = 367, real = 139, imag = 200
i = 368, real = 135, imag = 160
i = 369, real = 151, imag = 160
i = 370, real = 135, imag = 176
i = 371, real = 151, imag = 176
i = 372, real = 143, imag = 192
i = 373, real = 159, imag = 192
i = 374, real = 143, imag = 208
i = 375, real = 159, imag = 208
i = 376, real = 151, imag = 168
i = 377, real = 167, imag = 168
i = 378, real = 151, imag = 184
i = 379, real = 167, imag = 184
i = 380, real = 159, imag = 200
i = 381, real = 175, imag = 200
i = 382, real = 159, imag = 216
i = 383, real = 175, imag = 216
